time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,19
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,0
05:45:00,0
06:00:00,0
06:15:00,0
06:30:00,61
06:45:00,88
07:00:00,7
07:15:00,194
07:30:00,0
07:45:00,262
08:00:00,129
08:15:00,435
08:30:00,244
08:45:00,35
09:00:00,84
09:15:00,44
09:30:00,337
09:45:00,1302
10:00:00,1482
10:15:00,900
10:30:00,6
10:45:00,0
11:00:00,455
11:15:00,1001
11:30:00,236
11:45:00,1584
12:00:00,367
12:15:00,257
12:30:00,4
12:45:00,541
13:00:00,249
13:15:00,763
13:30:00,25
13:45:00,15
14:00:00,0
14:15:00,0
14:30:00,0
14:45:00,0
15:00:00,128
15:15:00,213
15:30:00,88
15:45:00,192
16:00:00,45
16:15:00,141
16:30:00,0
16:45:00,555
17:00:00,403
17:15:00,311
17:30:00,179
17:45:00,258
18:00:00,68
18:15:00,199
18:30:00,280
18:45:00,72
19:00:00,0
19:15:00,0
19:30:00,0
19:45:00,0
20:00:00,11
20:15:00,206
20:30:00,342
20:45:00,0
21:00:00,150
21:15:00,297
21:30:00,120
21:45:00,0
22:00:00,0
22:15:00,0
22:30:00,5
22:45:00,197
23:00:00,69
23:15:00,0
23:30:00,0
23:45:00,0
