time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,8
04:15:00,12
04:30:00,0
04:45:00,8
05:00:00,15
05:15:00,0
05:30:00,8
05:45:00,0
06:00:00,46
06:15:00,0
06:30:00,86
06:45:00,58
07:00:00,46
07:15:00,156
07:30:00,4
07:45:00,35
08:00:00,0
08:15:00,227
08:30:00,87
08:45:00,668
09:00:00,0
09:15:00,721
09:30:00,1352
09:45:00,467
10:00:00,0
10:15:00,202
10:30:00,357
10:45:00,0
11:00:00,0
11:15:00,0
11:30:00,0
11:45:00,0
12:00:00,58
12:15:00,13
12:30:00,29
12:45:00,0
13:00:00,5
13:15:00,0
13:30:00,33
13:45:00,8
14:00:00,362
14:15:00,61
14:30:00,0
14:45:00,20
15:00:00,1998
15:15:00,2700
15:30:00,1645
15:45:00,2088
16:00:00,114
16:15:00,101
16:30:00,662
16:45:00,1353
17:00:00,49
17:15:00,812
17:30:00,1186
17:45:00,83
18:00:00,8
18:15:00,20
18:30:00,387
18:45:00,226
19:00:00,161
19:15:00,238
19:30:00,0
19:45:00,47
20:00:00,201
20:15:00,8
20:30:00,23
20:45:00,118
21:00:00,56
21:15:00,85
21:30:00,69
21:45:00,32
22:00:00,345
22:15:00,257
22:30:00,300
22:45:00,110
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
