time,value
00:00:00,47
00:15:00,46
00:30:00,45
00:45:00,41
01:00:00,40
01:15:00,42
01:30:00,40
01:45:00,40
02:00:00,41
02:15:00,41
02:30:00,44
02:45:00,40
03:00:00,42
03:15:00,42
03:30:00,42
03:45:00,40
04:00:00,42
04:15:00,38
04:30:00,47
04:45:00,39
05:00:00,40
05:15:00,40
05:30:00,39
05:45:00,40
06:00:00,43
06:15:00,44
06:30:00,42
06:45:00,41
07:00:00,41
07:15:00,40
07:30:00,41
07:45:00,48
08:00:00,50
08:15:00,50
08:30:00,50
08:45:00,51
09:00:00,56
09:15:00,58
09:30:00,63
09:45:00,132
10:00:00,149
10:15:00,104
10:30:00,63
10:45:00,58
11:00:00,57
11:15:00,52
11:30:00,53
11:45:00,51
12:00:00,52
12:15:00,52
12:30:00,50
12:45:00,56
13:00:00,56
13:15:00,55
13:30:00,54
13:45:00,69
14:00:00,79
14:15:00,84
14:30:00,72
14:45:00,108
15:00:00,81
15:15:00,67
15:30:00,60
15:45:00,61
16:00:00,53
16:15:00,52
16:30:00,51
16:45:00,55
17:00:00,57
17:15:00,62
17:30:00,57
17:45:00,53
18:00:00,57
18:15:00,66
18:30:00,55
18:45:00,57
19:00:00,63
19:15:00,71
19:30:00,64
19:45:00,65
20:00:00,59
20:15:00,58
20:30:00,58
20:45:00,55
21:00:00,56
21:15:00,56
21:30:00,52
21:45:00,50
22:00:00,49
22:15:00,48
22:30:00,55
22:45:00,52
23:00:00,44
23:15:00,39
23:30:00,41
23:45:00,40
