time,value
00:00:00,0
00:15:00,33
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,0
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,65
05:45:00,2559
06:00:00,2431
06:15:00,109
06:30:00,185
06:45:00,95
07:00:00,278
07:15:00,36
07:30:00,102
07:45:00,523
08:00:00,27
08:15:00,316
08:30:00,1158
08:45:00,0
09:00:00,84
09:15:00,0
09:30:00,0
09:45:00,0
10:00:00,110
10:15:00,0
10:30:00,95
10:45:00,123
11:00:00,138
11:15:00,280
11:30:00,530
11:45:00,463
12:00:00,230
12:15:00,0
12:30:00,72
12:45:00,583
13:00:00,121
13:15:00,148
13:30:00,364
13:45:00,0
14:00:00,420
14:15:00,239
14:30:00,275
14:45:00,15
15:00:00,13
15:15:00,11
15:30:00,120
15:45:00,370
16:00:00,181
16:15:00,77
16:30:00,154
16:45:00,1331
17:00:00,0
17:15:00,0
17:30:00,6
17:45:00,659
18:00:00,542
18:15:00,178
18:30:00,71
18:45:00,249
19:00:00,67
19:15:00,53
19:30:00,68
19:45:00,129
20:00:00,28
20:15:00,32
20:30:00,0
20:45:00,0
21:00:00,0
21:15:00,13
21:30:00,6
21:45:00,0
22:00:00,21
22:15:00,0
22:30:00,0
22:45:00,17
23:00:00,156
23:15:00,0
23:30:00,0
23:45:00,0
