time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,25
02:00:00,9
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,9
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,18
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,0
05:45:00,0
06:00:00,0
06:15:00,41
06:30:00,631
06:45:00,110
07:00:00,0
07:15:00,983
07:30:00,548
07:45:00,18
08:00:00,12
08:15:00,144
08:30:00,400
08:45:00,101
09:00:00,15
09:15:00,49
09:30:00,22
09:45:00,52
10:00:00,29
10:15:00,330
10:30:00,483
10:45:00,143
11:00:00,30
11:15:00,38
11:30:00,0
11:45:00,16
12:00:00,165
12:15:00,56
12:30:00,730
12:45:00,252
13:00:00,90
13:15:00,85
13:30:00,126
13:45:00,60
14:00:00,45
14:15:00,342
14:30:00,421
14:45:00,22
15:00:00,0
15:15:00,23
15:30:00,345
15:45:00,170
16:00:00,19
16:15:00,35
16:30:00,728
16:45:00,635
17:00:00,0
17:15:00,0
17:30:00,542
17:45:00,32
18:00:00,455
18:15:00,0
18:30:00,148
18:45:00,62
19:00:00,0
19:15:00,0
19:30:00,0
19:45:00,0
20:00:00,78
20:15:00,2282
20:30:00,1741
20:45:00,1289
21:00:00,65
21:15:00,15
21:30:00,12
21:45:00,0
22:00:00,0
22:15:00,0
22:30:00,0
22:45:00,0
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
