time,value
00:00:00,73
00:15:00,70
00:30:00,51
00:45:00,49
01:00:00,48
01:15:00,48
01:30:00,49
01:45:00,52
02:00:00,51
02:15:00,49
02:30:00,48
02:45:00,47
03:00:00,46
06:15:00,50
06:30:00,61
06:45:00,62
07:00:00,62
07:15:00,57
07:30:00,82
07:45:00,66
08:00:00,64
08:15:00,77
08:30:00,82
08:45:00,65
09:00:00,64
09:15:00,62
09:30:00,60
09:45:00,59
10:00:00,62
10:15:00,65
10:30:00,72
10:45:00,69
11:00:00,69
11:15:00,63
11:30:00,64
11:45:00,70
12:00:00,70
12:15:00,62
12:30:00,79
12:45:00,73
13:00:00,75
13:15:00,72
13:30:00,72
13:45:00,70
14:00:00,71
14:15:00,69
14:30:00,70
14:45:00,72
15:00:00,68
15:15:00,64
15:30:00,65
15:45:00,73
16:00:00,68
16:15:00,70
16:30:00,59
16:45:00,56
17:00:00,56
17:15:00,54
17:30:00,54
17:45:00,56
18:00:00,53
18:15:00,60
18:30:00,77
18:45:00,52
19:00:00,49
19:15:00,61
19:30:00,61
19:45:00,60
20:00:00,64
20:15:00,79
20:30:00,134
20:45:00,130
21:00:00,104
21:15:00,79
21:30:00,122
21:45:00,134
22:00:00,142
22:15:00,139
23:00:00,138
