time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,0
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,0
05:45:00,0
06:00:00,81
06:15:00,136
06:30:00,521
06:45:00,248
07:00:00,0
07:15:00,1040
07:30:00,163
07:45:00,26
08:00:00,0
08:15:00,0
08:30:00,8
08:45:00,356
09:00:00,381
09:15:00,61
09:30:00,110
09:45:00,105
10:00:00,62
10:15:00,465
10:30:00,127
10:45:00,48
11:00:00,121
11:15:00,92
11:30:00,184
11:45:00,63
12:00:00,216
12:15:00,67
12:30:00,0
12:45:00,139
13:00:00,0
13:15:00,6
13:30:00,0
13:45:00,0
14:00:00,0
14:15:00,1141
14:30:00,1533
14:45:00,734
15:00:00,0
15:15:00,77
15:30:00,18
15:45:00,0
16:00:00,257
16:15:00,71
16:30:00,0
16:45:00,0
17:00:00,93
17:15:00,274
17:30:00,0
17:45:00,29
18:00:00,1278
18:15:00,10
18:30:00,0
18:45:00,476
19:00:00,85
19:15:00,128
19:30:00,17
19:45:00,0
20:00:00,78
20:15:00,206
20:30:00,902
20:45:00,2631
21:00:00,1165
21:15:00,26
21:30:00,137
21:45:00,63
22:00:00,31
22:15:00,6
22:30:00,97
22:45:00,39
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
