time,value
12:00:00,62
12:15:00,52
12:30:00,50
12:45:00,49
13:00:00,53
13:15:00,48
13:30:00,49
13:45:00,49
14:00:00,68
14:15:00,54
14:30:00,49
14:45:00,52
15:00:00,118
15:15:00,149
15:30:00,116
15:45:00,135
16:00:00,82
16:15:00,65
16:30:00,69
16:45:00,66
17:00:00,58
17:15:00,91
17:30:00,87
17:45:00,64
18:00:00,54
18:15:00,55
18:30:00,76
18:45:00,69
19:00:00,63
19:15:00,66
19:30:00,55
19:45:00,55
20:00:00,60
20:15:00,58
20:30:00,55
20:45:00,60
21:00:00,66
21:15:00,69
21:30:00,70
21:45:00,60
22:00:00,70
22:15:00,67
22:30:00,67
22:45:00,65
23:00:00,46
23:15:00,50
23:30:00,48
23:45:00,53
