time,value
05:00:00,68
05:15:00,59
05:30:00,78
05:45:00,131
06:00:00,125
06:15:00,90
06:30:00,91
06:45:00,87
07:00:00,71
07:15:00,59
07:30:00,75
07:45:00,59
08:00:00,57
08:15:00,86
08:30:00,99
08:45:00,72
09:00:00,74
09:15:00,67
09:30:00,70
09:45:00,68
10:00:00,69
10:15:00,72
10:30:00,70
10:45:00,68
11:00:00,67
11:15:00,67
11:30:00,66
11:45:00,71
12:00:00,70
12:15:00,60
12:30:00,55
12:45:00,55
13:00:00,57
13:15:00,56
13:30:00,55
13:45:00,55
14:00:00,57
14:15:00,64
14:30:00,75
14:45:00,69
15:00:00,61
15:15:00,62
15:30:00,64
15:45:00,68
16:00:00,68
16:15:00,63
16:30:00,66
16:45:00,60
17:00:00,72
17:15:00,74
17:30:00,67
17:45:00,65
18:00:00,84
18:15:00,68
18:30:00,68
18:45:00,65
19:00:00,58
19:15:00,67
19:30:00,70
19:45:00,70
20:00:00,64
20:15:00,61
20:30:00,60
20:45:00,58
21:00:00,64
21:15:00,55
21:30:00,55
21:45:00,54
22:00:00,72
22:15:00,76
22:30:00,52
22:45:00,53
23:00:00,77
