time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,0
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,0
05:45:00,0
06:00:00,0
06:15:00,24
06:30:00,545
06:45:00,374
07:00:00,0
07:15:00,11
07:30:00,0
07:45:00,566
08:00:00,480
08:15:00,0
08:30:00,163
08:45:00,564
09:00:00,155
09:15:00,226
09:30:00,252
09:45:00,76
10:00:00,138
10:15:00,26
10:30:00,71
10:45:00,199
11:00:00,189
11:15:00,195
11:30:00,57
11:45:00,45
12:00:00,261
12:15:00,306
12:30:00,98
12:45:00,258
13:00:00,271
13:15:00,146
13:30:00,0
13:45:00,4
14:00:00,28
14:15:00,1366
14:30:00,406
14:45:00,0
15:00:00,0
15:15:00,0
15:30:00,0
15:45:00,426
16:00:00,112
16:15:00,207
16:30:00,79
16:45:00,19
17:00:00,172
17:15:00,0
17:30:00,0
17:45:00,0
18:00:00,0
18:15:00,0
18:30:00,0
18:45:00,0
19:00:00,0
19:15:00,1063
19:30:00,267
19:45:00,0
20:00:00,0
20:15:00,588
20:30:00,28
20:45:00,51
21:00:00,81
21:15:00,308
21:30:00,39
21:45:00,0
22:00:00,51
22:15:00,7
22:30:00,0
22:45:00,0
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
