time,value
00:00:00,49
00:15:00,51
00:30:00,49
00:45:00,48
01:00:00,47
01:15:00,50
01:30:00,47
01:45:00,42
02:00:00,47
02:15:00,46
02:30:00,45
02:45:00,46
03:00:00,41
03:15:00,42
03:30:00,47
03:45:00,46
04:00:00,46
04:15:00,52
04:30:00,54
04:45:00,45
05:00:00,44
05:15:00,48
05:30:00,49
05:45:00,50
06:00:00,48
06:15:00,47
06:30:00,56
06:45:00,69
07:00:00,52
07:15:00,66
07:30:00,50
07:45:00,60
08:00:00,59
08:15:00,66
08:30:00,70
08:45:00,56
09:00:00,56
09:15:00,55
09:30:00,60
09:45:00,76
10:00:00,73
10:15:00,72
10:30:00,52
10:45:00,50
11:00:00,59
11:15:00,64
11:30:00,57
11:45:00,76
12:00:00,61
12:15:00,64
12:30:00,51
12:45:00,65
13:00:00,65
13:15:00,84
13:30:00,57
13:45:00,55
15:00:00,68
15:15:00,64
15:30:00,59
15:45:00,63
16:00:00,50
16:15:00,61
16:30:00,51
16:45:00,63
17:00:00,69
17:15:00,62
17:30:00,65
17:45:00,64
18:00:00,54
18:15:00,51
18:30:00,55
18:45:00,55
19:00:00,47
19:15:00,50
19:30:00,50
19:45:00,49
20:00:00,50
20:15:00,51
20:30:00,70
20:45:00,50
21:00:00,68
21:15:00,67
21:30:00,57
21:45:00,53
22:00:00,64
22:15:00,74
22:30:00,73
22:45:00,78
23:00:00,62
23:15:00,49
23:30:00,48
23:45:00,50
