time,value
00:00:00,45
00:15:00,46
00:30:00,49
00:45:00,46
01:00:00,43
01:15:00,43
01:30:00,44
01:45:00,42
02:00:00,43
02:15:00,46
02:30:00,48
02:45:00,45
03:00:00,43
03:15:00,45
03:30:00,43
03:45:00,41
04:00:00,43
04:15:00,52
04:30:00,47
04:45:00,44
05:00:00,47
05:15:00,45
05:30:00,48
05:45:00,43
06:00:00,46
06:15:00,42
06:30:00,45
06:45:00,44
07:00:00,48
07:15:00,100
07:30:00,127
07:45:00,149
08:00:00,131
08:15:00,127
08:30:00,67
08:45:00,62
09:00:00,64
09:15:00,63
09:30:00,60
09:45:00,61
10:00:00,59
10:15:00,59
10:30:00,59
12:00:00,63
12:15:00,56
12:30:00,58
12:45:00,52
13:00:00,58
13:15:00,53
13:30:00,60
13:45:00,64
14:00:00,60
14:15:00,63
14:30:00,63
14:45:00,66
15:00:00,70
15:15:00,61
15:30:00,59
15:45:00,59
16:00:00,63
16:15:00,87
16:30:00,69
16:45:00,51
17:00:00,56
17:15:00,56
17:30:00,53
17:45:00,53
18:00:00,52
18:15:00,53
18:30:00,54
18:45:00,57
19:00:00,60
19:15:00,61
19:30:00,60
19:45:00,55
20:00:00,57
20:15:00,58
20:30:00,66
20:45:00,49
21:00:00,47
21:15:00,50
21:30:00,48
21:45:00,49
22:00:00,50
22:15:00,48
22:30:00,47
22:45:00,45
23:00:00,47
23:15:00,45
23:30:00,45
23:45:00,51
